TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
Gemelas,"Tessa de Loo","Lado B",800,NULL,NULL,NULL,Nuevo
"La amiga estupenda","Elena Ferrante",Lumen,3000,NULL,NULL,NULL,Nuevo
"Antes de decir adiós","Susan Spencer Wendel",Oceano,1200,NULL,NULL,NULL,Nuevo
"Los hombres son de Marte, las mujeres de Venus","John Fray",Oceano,650,NULL,NULL,NULL,Usado
"Shangai baby","We Hui","Emece ",650,NULL,NULL,NULL,Usado
"Un asunto incómodo","David Ignatius",Grijalbo,650,NULL,NULL,NULL,Usado
"Mirada de mujer","Romero - Agudelo","Plaza & Janes",650,NULL,NULL,NULL,Usado
"El capricho de los dioses","Sidney Sheldon","Emece ",650,NULL,NULL,NULL,Usado
"Las purpurinas","Luis Bacigalupo","Ultimo reino",400,NULL,NULL,NULL,Usado
Venezia,"Gabriela Liffschitz","Ultimo reino",400,NULL,NULL,NULL,Usado
Copyright,"Juan Carlos Martini Real","De Belgrano",450,NULL,NULL,NULL,Usado
"Una realidad aparte","Carlos Castaneda",///,600,NULL,NULL,NULL,Usado
"El pueblo del aire","Poul Anderson",Brugera,550,NULL,NULL,NULL,Usado
Tormento,"Benito Perez Galdos",Alianza,450,NULL,NULL,NULL,Usado
"La tercera mañana","Edgardo Cozarinsky",TusQuets,600,NULL,NULL,NULL,Usado
Sudeste,"Haroldo Conti","Tinta fresca",400,NULL,NULL,NULL,Usado
"El diario de mi abuela","Lucia Galvez","Punto de lectura",650,NULL,NULL,NULL,Usado
"Trafico de sueños","Raul Urtizberea","Grupo Editor L",500,NULL,NULL,NULL,Usado
"Presagio de carnaval","Liliana Bodoc",Norma,600,NULL,NULL,NULL,Usado
"Un poco invisible","Marcelo Birmajer",Norma,500,NULL,NULL,NULL,Usado
"La vuelta al hogar","Belva Plain","Emece ",600,NULL,NULL,NULL,Usado
"La casa solariega","Enrique Sienkiewicz",///,400,NULL,NULL,NULL,Usado
"Remedio amargo","Arthur Hailey","Emece ",450,NULL,NULL,NULL,Usado
"El despertar","Jude Deveraux","Pocket Books",550,NULL,NULL,NULL,Usado
"Amor de mi vida","Guy Des Cars",///,450,NULL,NULL,NULL,Usado
"El cazador furtivo","René Fallet","Emece ",400,NULL,NULL,NULL,Usado
"Memorias del presente","Rodolfo H. Terragno",Legasa,400,NULL,NULL,NULL,Usado
Misericordia,"Benito Perez Galdos",Huemul,450,NULL,NULL,NULL,Usado
"Vamos a calentar el sol","Jose Mauro de Vasconcelos","El Ateneo",750,NULL,NULL,NULL,Nuevo
"Nunca seré un superhéroe","Antonio Santa Ana",Norma,650,NULL,NULL,NULL,Usado
"Guerra del tiempo","Alejo Carpentier",Alianza,400,NULL,NULL,NULL,Usado
Títeres,"Beatriz Amutio"," Paginas Bonaerenses",550,NULL,NULL,NULL,Usado
"La mascota","JP Miller","Emece ",500,NULL,NULL,NULL,Usado
"La hoja roja","Miguel Delibes","Argos Vergara",600,NULL,NULL,NULL,Usado
"Bicicletas negras","Carlos Maria Dominguez","/// ",450,NULL,NULL,NULL,Usado
"El poder y la gloria","Graham Greene","Emece ",500,NULL,NULL,NULL,Usado
